Country,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2
ISL,0,29.71,294.02,680.32,1163.26,1902.74,2575.59,3011.55,3249.85,12.91
IND,0,0.92,8.87,20.25,34.18,55.67,75.76,89.87,98.83,0.38
IDN,0,2.13,20.76,47.56,80.58,131.54,178.69,210.27,228.45,0.9
IRN,0,4.31,42.69,99.27,170.85,285.03,402.3,497.85,567.1,2.07
IRQ,0,2.57,21.52,43.77,62.2,86.51,101.26,103.22,98.33,0.52
IRL,0,34.84,344.01,787.93,1317.79,2115.91,2825.62,3241.43,3396.81,14.06
ISR,0,20.64,191.35,418.58,656.58,992.42,1252.41,1369.74,1387.97,6.29
ITA,0,27.65,294.28,713.62,1295.22,2234.02,3166.6,3814.74,4159.7,15.71
JAM,0,3.49,36.36,88.19,162.86,289.4,431.31,567.21,698.94,2.28
JPN,0,34.67,376.49,933.66,1743.98,3058.14,4410.7,5458.53,6121.24,22.14
JOR,0,1.99,19.31,42.25,65.89,100.05,127.94,142.71,148.33,0.65
KAZ,0,6.07,59.23,135.08,223.71,354.33,467.43,532.25,557.79,2.34
KEN,0,0.58,4.93,10.24,15.1,21.84,26.67,28.54,28.65,0.14
KWT,0,20.64,193.3,432,709.08,1130.17,1499.55,1711.96,1798.45,7.5
KGZ,0,0.59,5.58,12.55,20.55,32.44,42.79,48.97,51.81,0.22
LAO,0,0.77,7.22,16.23,26.88,43.33,58.77,69.89,77.46,0.3
LVA,0,9.66,108.8,274.27,519.48,921.16,1337.82,1659.13,1863.27,6.69
LBN,0,4.86,56.48,135.94,238.77,397.73,552.79,675.46,767.96,2.83
LSO,0,0.79,7.48,16.55,26.28,40.11,51.28,57.27,59.61,0.26
LBR,0,0.16,1.37,2.79,4,5.6,6.59,6.78,6.53,0.03
LBY,0,8.64,82.89,188.56,316.72,517.13,709.01,843.08,922.22,3.59
LTU,0,10.01,109.6,273.19,512.78,900.23,1291.25,1584.96,1770.85,6.45
LUX,0,67.4,638.99,1428.68,2318.86,3609.21,4657.53,5183.32,5318.37,23.22
MDG,0,0.24,2.03,4.14,5.92,8.28,9.76,10.04,9.67,0.05
MWI,0,0.26,2.17,4.37,6.13,8.47,9.91,10.19,9.85,0.05
MYS,0,5.97,56.48,127.41,211.3,337.23,449.98,525.13,568.97,2.28
MDV,0,3.9,37,83.92,139.45,224.71,307.02,370.2,416.29,1.58
MLI,0,0.41,3.28,6.51,8.97,12.24,14.18,14.43,13.84,0.07
MLT,0,15.48,160.33,387.36,700.99,1193.62,1674,2034.34,2268.46,8.43
MRT,0,0.7,5.9,12.14,17.58,24.89,29.68,30.86,29.98,0.15
MUS,0,6.04,62.72,150.96,274.45,475.02,676.72,832.83,944.49,3.42
MEX,0,6.04,57.99,131.68,220.45,356.72,483.36,571.6,627.88,2.46
FSM,0,2.1,20.36,46.52,78.71,127.82,174.06,209.44,234.92,0.89
MNG,0,1.72,16.44,37.19,61.27,96.91,128.19,146.62,153.91,0.64
MAR,0,1.93,18.56,42.14,70.41,113.46,152.84,179.47,195.47,0.77
MOZ,0,0.24,1.99,3.97,5.52,7.55,8.71,8.78,8.32,0.05
MMR,0,0.58,5.72,13.22,22.72,37.62,51.84,62.06,68.71,0.26
NAM,0,3.22,28.56,60.9,92.72,137.47,171.73,187.86,192.2,0.87
NPL,0,0.41,3.99,9.13,15.47,25.32,34.77,41.99,47.55,0.18
NLD,0,37.45,384.06,911.87,1615.24,2714.61,3738.99,4409.22,4769.18,18.58
NZL,0,23.33,228.34,523.7,883.07,1423.27,1894.97,2172.72,2299.97,9.45
NIC,0,1.05,10.09,22.9,38.26,61.85,83.84,99.61,110.41,0.43
NER,0,0.18,1.37,2.57,3.21,4,4.27,4.01,3.57,0.02
NGA,0,1.38,11.57,23.44,33.02,45.5,52.87,53.66,51.09,0.27
NOR,0,60.5,584.81,1324.42,2185.64,3443.85,4490.61,5049.35,5238.64,22.38
OMN,0,8.76,81.26,183.08,301.45,477.19,635.73,743.81,812.21,3.24
PAK,0,0.64,5.85,12.73,20.03,30.73,39.74,44.93,47.35,0.2
PAN,0,5.19,48.35,107.24,173.2,270.76,354.07,402.65,424.7,1.79
PNG,0,0.85,7.61,16.26,24.91,37.13,46.43,50.64,51.53,0.24
PRY,0,2.18,20.82,46.98,77.9,124.74,167.21,195.94,213.57,0.85
PER,0,3.41,32.63,73.78,122.51,196.45,263.37,307.62,333.62,1.33
PHL,0,1.4,13.01,28.73,46.13,71.68,93.14,105.43,110.95,0.47
POL,0,9.72,105.17,260.9,490.89,874.72,1291.15,1654.33,1935.16,6.62
PRT,0,17.94,193.86,476.14,882.86,1559.14,2272.06,2833.21,3205.31,11.44
KOR,0,16.35,167.77,401.24,726.84,1265.02,1819.69,2253.4,2545.49,9.2
MDA,0,1.11,12.14,30.42,58.21,105.75,159.76,209.75,250.08,0.83
ROU,0,6.67,73.01,181.42,340.39,602.38,875.96,1091.22,1235.95,4.41
RUS,0,8.16,87.27,213.4,386.94,656.61,914.87,1088.34,1172.53,4.53
RWA,0,0.34,2.93,6.17,9.3,13.8,17.31,19.06,19.69,0.09
KNA,0,9.55,94.37,219.25,379,630.71,873.8,1048.41,1157.88,4.41
LCA,0,5.27,53.86,128.19,229.42,394.37,565.35,707.45,820.8,2.9
VCT,0,4.73,49.03,117.05,209.68,360.56,516.15,643.31,742.97,2.64
WSM,0,2.53,25.1,56.75,93.52,148.58,195.23,221.26,233.29,0.98
STP,0,0.7,6.06,12.66,18.73,27.05,32.81,34.65,34.15,0.17
SAU,0,11.68,108.97,244.61,404.44,649.02,875.19,1027.52,1112.53,4.43
SEN,0,0.58,4.83,9.82,13.91,19.3,22.58,23.03,21.95,0.12
SRB,0,3.49,37.92,94.09,176.18,310.01,448.07,557.77,635,2.26
SYC,0,7.76,79.92,190.32,338.88,578.76,817.98,991.15,1096.38,4.1
SLE,0,0.25,2.21,4.71,7.18,10.71,13.48,14.88,15.42,0.07
SGP,0,30.65,302.43,702.71,1221.69,2053.58,2873.75,3482.04,3885.2,14.55
SVK,0,12.63,133.76,327.32,602.65,1048.17,1507.27,1869.88,2107.17,7.61
SVN,0,17.74,187.75,456.14,829.87,1430.54,2031.13,2466.1,2708.11,10.13
SLB,0,0.8,7.14,15.21,23.18,34.37,42.71,46.2,46.66,0.22
ZAF,0,4.92,47.37,107.45,178.46,284.56,377.64,434.9,464.07,1.9
ESP,0,23.71,250.05,602.41,1085.2,1872.68,2685.09,3293.17,3637.87,13.45
LKA,0,2.07,21.33,50.97,91.71,158.4,226.91,281.41,322.26,1.16
SDN,0,1.16,9.89,20.38,29.61,42.04,50.15,52.17,50.75,0.26
SUR,0,5.82,57.46,133.29,229.81,380.45,523.09,623.58,687.2,2.64
SWE,0,37.12,369.54,856.01,1447.35,2314.33,3052.5,3462.88,3611.53,15.15
CHE,0,51.57,511.99,1185.64,2018.88,3277.9,4398.44,5077.55,5380.71,21.9
SYR,0,2.44,18.89,39.76,62.12,95.47,123.53,139.85,148.14,0.63
TJK,0,0.46,4.13,8.92,13.79,20.76,26.25,28.9,29.65,0.13
THA,0,3.78,39.48,95.38,174.36,305.49,442.16,550.1,626.59,2.24
MKD,0,3.47,36.5,88.87,162.96,283.08,406.35,504.1,571.2,2.06
TGO,0,0.29,2.49,5.15,7.51,10.72,12.86,13.48,13.23,0.07
TON,0,2.59,25.11,56.43,92.67,146.59,191.68,216.6,227.75,0.96
