Country,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2
MAR,,0,0,0.01,0.02,0.04,0.05,0.06,0.07,0.26
MOZ,,0,0.01,0.02,0.04,0.1,0.2,0.32,0.45,1.13
MMR,,0,0.01,0.02,0.04,0.07,0.09,0.11,0.11,0.45
NAM,,0,0,0,0,0,0,0,0,0
NPL,,0,0,0.01,0.01,0.02,0.03,0.04,0.04,0.15
NLD,,0,0,0,0,0.01,0.01,0.01,0.01,0.04
NZL,,0,0,0,0,0,0,0,0,0
NIC,,0,0,0,0,0,0,0,0,0.01
NER,,0,0,0.01,0.04,0.12,0.27,0.49,0.78,1.72
NGA,,0.01,0.2,0.62,1.6,3.77,7.09,11.21,15.65,40.16
NOR,,0,0,0,0,0,0,0,0,0.01
OMN,,0,0,0,0,0,0,0,0,0.01
PAK,,0.01,0.17,0.46,0.96,1.82,2.77,3.54,4.04,13.78
PAN,,0,0,0,0,0,0,0,0,0
PNG,,0,0,0,0,0,0.01,0.01,0.01,0.03
PRY,,0,0,0,0,0,0,0,0,0.01
PER,,0,0,0.01,0.02,0.03,0.05,0.05,0.06,0.22
PHL,,0,0.05,0.12,0.24,0.44,0.66,0.84,0.96,3.3
POL,,0,0,0.01,0.01,0.02,0.02,0.02,0.02,0.1
PRT,,0,0,0,0,0,0,0,0,0.01
KOR,,0,0.01,0.02,0.03,0.04,0.05,0.06,0.06,0.26
MDA,,0,0,0,0,0,0,0,0,0
ROU,,0,0,0,0,0,0.01,0.01,0.01,0.03
RUS,,0.01,0.06,0.13,0.2,0.3,0.4,0.46,0.5,2.06
RWA,,0,0,0,0,0.01,0.02,0.02,0.02,0.08
KNA,,0,0,0,0,0,0,0,0,0
LCA,,0,0,0,0,0,0,0,0,0
VCT,,0,0,0,0,0,0,0,0,0
WSM,,0,0,0,0,0,0,0,0,0
STP,,0,0,0,0,0,0,0,0,0
SAU,,0,0,0.01,0.02,0.04,0.05,0.06,0.07,0.26
SEN,,0,0,0,0.01,0.03,0.05,0.07,0.1,0.27
SRB,,0,0,0,0,0,0,0,0,0.01
SYC,,0,0,0,0,0,0,0,0,0
