Country,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2
ISL,0,20.63,206.35,481.48,832.28,1375.66,1884.66,2228.57,2421.16,9.45
IND,0,1.29,12.89,30.07,51.98,85.92,117.71,139.19,151.22,0.59
IDN,0,1.65,16.51,38.53,66.6,110.08,150.81,178.33,193.74,0.76
IRN,0,7,70.02,163.38,282.42,466.81,639.53,756.23,821.58,3.21
IRQ,0,8.05,80.49,187.82,324.65,536.61,735.16,869.32,944.44,3.69
IRL,0,13.71,137.06,319.8,552.8,913.73,1251.8,1480.24,1608.16,6.28
ISR,0,11.8,117.97,275.27,475.82,786.48,1077.48,1274.1,1384.21,5.4
ITA,0,11.65,116.51,271.85,469.92,776.72,1064.11,1258.29,1367.03,5.34
JAM,0,5.52,55.2,128.79,222.63,367.98,504.13,596.13,647.64,2.53
JPN,0,15.07,150.7,351.62,607.81,1004.64,1376.36,1627.52,1768.17,6.9
JOR,0,3.8,38.02,88.71,153.33,253.44,347.22,410.58,446.06,1.74
KAZ,0,26.67,266.66,622.21,1075.53,1777.73,2435.49,2879.93,3128.81,12.21
KEN,0,0.53,5.32,12.41,21.45,35.46,48.58,57.44,62.41,0.24
KWT,0,83.49,834.92,1948.14,3367.49,5566.11,7625.57,9017.09,9796.35,38.24
KGZ,0,8.75,87.49,204.14,352.87,583.26,799.07,944.88,1026.54,4.01
LAO,0,0.16,1.65,3.85,6.65,10.99,15.05,17.8,19.34,0.08
LVA,0,8.6,85.96,200.58,346.72,573.1,785.14,928.41,1008.65,3.94
LBN,0,4.99,49.9,116.44,201.28,332.7,455.8,538.97,585.55,2.29
LSO,0,0.15,1.54,3.59,6.21,10.27,14.06,16.63,18.07,0.07
LBR,0,0.72,7.19,16.77,29,47.93,65.66,77.64,84.35,0.33
LBY,0,14.85,148.53,346.56,599.05,990.17,1356.53,1604.08,1742.7,6.8
LTU,0,10.69,106.86,249.34,431.01,712.41,975.99,1154.1,1253.83,4.89
LUX,0,59.49,594.88,1388.06,2399.36,3965.89,5433.27,6424.74,6979.97,27.25
MDG,0,0.2,2,4.66,8.06,13.32,18.24,21.57,23.44,0.09
MWI,0,0.14,1.43,3.33,5.76,9.52,13.05,15.43,16.76,0.07
MYS,0,6.08,60.8,141.86,245.22,405.33,555.3,656.63,713.37,2.78
MDV,0,1.62,16.16,37.71,65.19,107.75,147.62,174.55,189.64,0.74
MLI,0,0.11,1.1,2.56,4.43,7.32,10.03,11.86,12.89,0.05
MLT,0,6.67,66.65,155.53,268.84,444.36,608.77,719.86,782.07,3.05
MRT,0,0.96,9.62,22.45,38.8,64.13,87.86,103.9,112.87,0.44
MUS,0,2.29,22.86,53.34,92.2,152.39,208.78,246.87,268.21,1.05
MEX,0,6.54,65.38,152.56,263.7,435.87,597.15,706.12,767.14,2.99
FSM,0,2.25,22.54,52.59,90.9,150.26,205.85,243.41,264.45,1.03
MNG,0,4.43,44.28,103.33,178.61,295.23,404.46,478.27,519.6,2.03
MAR,0,1.67,16.72,39.01,67.43,111.45,152.69,180.55,196.16,0.77
MOZ,0,0.31,3.14,7.33,12.67,20.94,28.69,33.92,36.86,0.14
MMR,0,0.38,3.76,8.76,15.15,25.04,34.3,40.56,44.06,0.17
NAM,0,0.97,9.7,22.64,39.14,64.7,88.63,104.81,113.86,0.44
NPL,0,0.13,1.33,3.1,5.35,8.85,12.12,14.34,15.57,0.06
NLD,0,26.31,263.09,613.88,1061.14,1753.95,2402.91,2841.39,3086.95,12.05
NZL,0,14.31,143.1,333.9,577.18,954.01,1306.99,1545.5,1679.06,6.55
NIC,0,1.14,11.43,26.68,46.11,76.22,104.42,123.48,134.15,0.52
NER,0,0.04,0.42,0.97,1.68,2.78,3.81,4.51,4.9,0.02
NGA,0,1.05,10.48,24.44,42.25,69.84,95.68,113.14,122.92,0.48
NOR,0,29.01,290.11,676.93,1170.12,1934.08,2649.69,3133.21,3403.98,13.29
OMN,0,11.04,110.36,257.5,445.11,735.72,1007.94,1191.87,1294.87,5.05
PAK,0,0.92,9.15,21.36,36.92,61.03,83.61,98.87,107.42,0.42
PAN,0,2.68,26.79,62.51,108.05,178.6,244.69,289.34,314.34,1.23
PNG,0,0.8,7.99,18.63,32.21,53.24,72.93,86.24,93.69,0.37
PRY,0,0.84,8.44,19.68,34.03,56.24,77.05,91.11,98.99,0.39
